,UNKNOWN,Abl(h),ACK1(h),ALK(h),ALK4(h),AMPKa1(h),AMPKa2(h),Arg(h),ARK5(h),ASK1(h),Aurora-A(h),Aurora-B(h),Aurora-C(h),Axl(h),Blk(h),Bmx(h),BRK(h),BrSK1(h),BrSK2(h),BTK(h),CaMKI(h),CaMKIIb(h),CaMKIIg(h),CaMKIId(h),CaMKIV(h),CaMKId(h),CDK1/cyclinB(h),CDK2/cyclinA(h),CDK2/cyclinE(h),CDK3/cyclinE(h),CDK5/p25(h),CDK5/p35(h),CDK6/cyclinD3(h),CDK7/cyclinH/MAT1(h),CDK9/cyclin T1(h),CHK1(h),CHK2(h),CK1g1(h),CK1g2(h),CK1g3(h),CK1d(h),CK2(h),CK2a2(h),cKit(h),CLK2(h),CLK3(h),c-RAF(h),CSK(h),cSRC(h),DAPK1(h),DAPK2(h),DCAMKL2(h),DDR2(h),DMPK(h),DRAK1(h),DYRK2(h),eEF-2K(h),EGFR(h),EphA1(h),EphA2(h),EphA3(h),EphA4(h),EphA5(h),EphA7(h),EphA8(h),EphB1(h),EphB2(h),EphB3(h),EphB4(h),ErbB4(h),FAK(h),Fer(h),Fes(h),FGFR1(h),FGFR2(h),FGFR3(h),FGFR4(h),Fgr(h),Flt1(h),Flt3(h),Flt4(h),Fms(h),Fyn(h),GCK(h),GRK5(h),GRK6(h),GRK7(h),GSK3a(h),GSK3b(h),Haspin(h),Hck(h),Hck(h) activated,HIPK1(h),HIPK2(h),HIPK3(h),IGF-1R(h),"IGF-1R(h), activated",IKKa(h),IKKb(h),IR(h),"IR(h), activated",IRAK1(h),IRAK4(h),IRR(h),Itk(h),JAK2(h),JAK3(h),JNK1a1(h),JNK2a2(h),JNK3(h),KDR(h),Lck(h),Lck(h) activated,LIMK1(h),LKB1(h),LOK(h),Lyn(h),MAPK1(h),MAPK2(h),MAPKAP-K2(h),MAPKAP-K3(h),MARK1(h),MEK1(h),MELK(h),Mer(h),Met(h),MINK(h),MKK6(h),MKK7b(h),MLCK(h),MLK1(h),Mnk2(h),MRCKa(h),MRCKb(h),MSK1(h),MSK2(h),MSSK1(h),MST1(h),MST2(h),MST3(h),mTOR(h),mTOR/FKBP12(h),MuSK(h),NEK11(h),NEK2(h),NEK3(h),NEK6(h),NEK7(h),NLK(h),p70S6K(h),PAK2(h),PAK3(h),PAK4(h),PAK5(h),PAK6(h),PAR-1Ba(h),PASK(h),PDGFRa(h),PDGFRb(h),PDK1(h),PhKg2(h),Pim-1(h),Pim-2(h),Pim-3(h),PKA(h),PKBa(h),PKBb(h),PKBg(h),PKCa(h),PKCbI(h),PKCbII(h),PKCg(h),PKCd(h),PKCe(h),PKCz(h),PKCh(h),PKCq(h),PKCi(h),PKCm(h),PKD2(h),PKG1a(h),PKG1b(h),Plk1(h),Plk3(h),PRAK(h),PRK2(h),PrKX(h),PTK5(h),Pyk2(h),Ret(h),RIPK2(h),ROCK-I(h),ROCK-II(h),Ron(h),Ros(h),Rse(h),Rsk1(h),Rsk2(h),Rsk3(h),Rsk4(h),SAPK2a(h),SAPK2b(h),SAPK3(h),SAPK4(h),SGK(h),SGK2(h),SGK3(h),SIK(h),Snk(h),SRPK1(h),SRPK2(h),STK33(h),Syk(h),TAK1(h),TAO1(h),TAO2(h),TAO3(h),TBK1(h),Tec(h) activated,TGFBR1(h),Tie2 (h),TLK2(h),TrkA(h),TrkB(h),TSSK1(h),TSSK2(h),Txk(h),ULK2(h),ULK3(h),VRK2(h),WNK2(h),WNK3(h),Yes(h),ZAP-70(h),ZIPK(h)
AG 1024,15.26974083,20,-6,-7,-14,-10,3,12,-16,-8,-4,-8,-15,-8,1,-6,-9,15,-12,8,-21,3,-2,-4,-15,-24,-7,-18,-8,-9,-7,4,-13,10,10,-5,4,-4,-6,-1,1,-13,-21,-13,1,0,1,-3,9,-1,-4,-9,-15,2,-47,-7,10,-18,-15,-7,-22,-13,-7,-9,-17,-6,-16,4,-2,-14,-49,-20,-25,-8,1,-26,-18,-13,-2,2,4,3,12,-13,-20,-6,-13,-17,-6,-5,23,-2,-7,-1,-1,-30,-5,-1,2,-22,-9,-17,-12,-5,-5,-10,-5,-16,-3,11,-7,2,-5,-11,5,0,27,-29,-5,-4,-7,-5,-13,9,-16,16,-22,8,12,8,-4,6,-8,-15,-22,3,-5,-4,-7,13,23,-2,-21,6,8,-15,-17,-14,-15,-10,-25,23,-13,8,-11,-7,20,-20,-3,-2,-15,5,11,-5,16,2,-47,-6,-6,-6,-8,2,2,-8,1,7,-3,-7,2,0,-7,34,-13,-2,-7,-4,0,0,-12,-1,74,-2,-15,-4,-8,-12,-11,0,-6,2,-7,-10,-7,-1,5,2,8,-3,6,-14,-5,-10,-28,-4,-12,-13,-1,-3,11,3,-14,-12,15,-17,-5,-13,-12,-13,-10,-1,-14,-11,-16,7,9
AG 1296 Tyrphostin,7.981574677,4,4,-13,-30,14,-1,1,-3,17,17,17,-6,4,-8,-2,-8,4,20,-1,-12,0,-4,-1,-19,-15,-11,-29,-8,4,1,-2,-10,5,0,10,14,10,18,4,28,0,-31,16,-11,8,1,-18,12,13,17,6,-4,1,-24,7,18,-14,10,-5,-6,-15,-10,-4,-2,-7,-13,-32,-25,12,-39,-16,-26,-13,0,-17,-14,-10,5,43,29,70,-3,4,-9,-4,-7,-2,7,24,31,-6,1,4,0,-33,-13,-3,5,-10,8,-14,-15,-37,-2,-4,8,-14,-2,1,-7,-18,14,-12,-13,10,33,11,-4,-1,-14,10,-14,31,-5,8,8,8,10,22,6,-11,-21,2,-19,17,-34,-2,-20,35,0,-15,-8,13,6,-25,20,-9,0,37,-15,-32,-2,-9,8,5,10,16,3,-3,4,19,-27,5,1,-3,-11,-3,-4,-31,3,-3,3,-1,0,-11,-8,18,-2,4,-19,16,12,5,-25,-6,12,10,-19,6,-1,-9,-10,2,-4,4,-7,46,0,8,8,-1,-8,-16,2,4,-14,-8,-6,-15,-3,0,-18,2,-5,-12,-5,9,4,-5,-1,-7,61,46,-4,24,4,-9,-3,-6,-21,-26,-12,-18,4
AG-490 (Tyrphostin B42),17.6565087,3,12,6,-39,13,-24,-5,0,9,5,-8,1,5,-4,8,-15,17,-20,-13,-14,1,-11,-10,-21,-20,-12,-13,2,0,10,-1,6,10,-6,11,11,9,5,-9,20,12,-29,-17,-15,18,18,-18,13,3,9,31,-19,-6,-5,13,17,-25,10,-13,-7,-17,-1,-4,-3,4,-11,-11,-29,5,-27,-16,-24,-5,-3,-17,-25,-10,2,1,5,33,4,3,0,1,1,-7,5,17,22,-2,7,-1,-5,-44,-14,-4,-13,-15,0,7,-17,12,-4,-2,-7,-12,-8,6,-9,-32,3,-10,-2,6,6,23,-10,15,-10,15,2,20,-11,-3,-13,11,17,-1,9,-14,5,13,-9,14,-9,-6,-7,18,-10,-24,-5,-3,17,-14,6,-1,-1,-8,-3,11,8,4,7,4,0,-22,-12,-9,7,26,-12,2,24,-3,-20,4,-9,-14,4,-24,3,12,-6,7,7,16,-8,6,-20,23,14,6,28,3,6,3,-46,1,2,-6,-3,10,9,-2,-15,33,-22,-23,28,-6,-15,-25,21,39,-8,12,0,0,4,7,-27,6,-8,-11,-6,18,-6,19,11,4,36,-23,3,14,1,-9,-8,4,-10,-6,-4,-17,11
"Akt Inhibitor V, Triciribine",26.56426733,10,0,11,-4,4,-2,-31,5,-17,23,-12,0,10,-3,4,-9,3,-19,10,-2,5,-10,2,8,-20,0,-41,-9,-6,15,-10,-4,-3,-11,2,8,-9,6,3,8,-4,-10,-10,-4,2,1,-2,18,16,-1,25,-9,-36,-47,1,-4,4,-3,-20,-19,-8,1,0,0,9,-12,-12,-4,3,-48,-18,-24,-11,-14,-8,-14,-3,-19,18,8,7,-2,2,5,5,0,-16,-4,39,10,-14,-7,3,0,19,-4,-16,-11,-10,-5,5,0,-19,-5,-11,-3,-17,-6,5,-4,-17,10,-4,2,-11,23,-9,-12,-3,13,4,-21,9,-19,-3,-3,-8,-22,12,3,-3,14,-3,-22,-8,2,-2,-5,17,-15,13,5,22,13,-21,-11,-8,-9,-7,-11,21,4,7,-8,-5,-30,-21,-9,-11,-10,15,11,-1,11,1,-30,-9,-9,-7,-6,-9,-4,15,-7,-16,-12,12,12,-2,6,3,-12,14,14,-9,-10,7,-30,0,17,0,-4,1,-6,1,-10,-8,-9,0,9,-8,-13,3,-13,11,22,-22,2,12,-5,6,-18,2,1,-2,-2,1,11,3,17,2,6,-18,-2,3,17,-3,-3,-5,-6,-5,-7,-19,10
"Akt Inhibitor VIII, Isozyme-Selective, Akti-1/2",-0.414733702,-14,2,10,-17,-8,-7,-17,-13,1,30,-16,-8,23,6,4,-10,59,-8,9,-3,6,-4,-2,-30,-5,-9,-41,-11,-5,5,0,-5,2,-4,-2,5,10,17,5,16,11,-13,-21,2,-5,6,-12,7,7,2,13,-9,-33,-26,-11,-5,-5,-2,-3,-12,-12,-14,3,-8,7,-19,-23,-9,1,-43,-12,-20,-12,-11,-15,-11,-7,-3,5,0,45,5,-1,-3,0,-10,-12,-8,24,9,-2,-1,2,3,-25,2,-18,-1,-19,-3,-3,-6,-24,1,-20,-10,-10,-4,-5,-7,-47,6,-15,6,-9,4,-5,-8,-7,-6,1,-27,6,-12,7,3,20,-12,24,2,3,-22,4,-32,-6,-12,-2,-6,28,5,11,-5,25,14,-11,-9,-11,-5,30,-3,30,2,16,-21,-1,14,-27,-8,-13,-1,12,15,-2,3,2,-21,-18,-4,-2,12,-8,-7,13,-9,-20,-4,13,4,0,-8,14,-1,3,25,-12,2,1,-28,1,3,-14,-3,-3,4,9,-17,32,-8,-6,25,0,-8,-7,-6,0,6,-15,9,20,1,0,-25,3,-2,-1,7,18,5,9,14,-4,14,25,3,-6,-2,-8,0,-9,-17,-16,1,-23,0
Alsterpaullone,11.51910562,53,56,12,3,52,82,19,90,-6,15,52,1,9,71,26,-11,17,68,13,5,39,76,68,-14,-14,53,86,85,85,91,94,40,-3,99,61,97,8,25,10,7,-7,6,-10,3,1,7,-4,47,9,15,6,-1,-2,90,46,4,4,-9,3,10,-5,-2,14,6,11,-6,-24,3,7,14,4,65,26,-6,-25,-12,60,51,70,71,67,80,98,2,7,3,99,101,30,59,19,-9,6,2,22,-5,-14,4,-12,-1,8,22,-21,10,-3,-1,-9,-4,30,48,78,24,2,-1,-2,94,9,-9,31,25,66,-3,19,0,20,40,21,27,7,93,16,40,52,-8,4,0,67,29,49,-20,-4,30,26,1,22,-15,-6,16,-6,57,63,78,76,39,42,4,-9,-7,55,6,3,-19,-2,8,-4,-15,-18,0,-3,1,2,-8,9,-1,6,-1,-4,7,3,4,0,-5,-7,20,2,19,33,55,-3,47,-7,15,0,-6,6,-6,44,62,36,1,0,8,10,3,35,4,0,9,-5,-5,11,7,16,46,22,13,49,21,11,2,14,28,20,24,16,51,51,25,-3,-4,5,44,-25,4
ATM Kinase Inhibitor (KU-55933),13.39442323,1,11,3,12,-8,-2,3,-2,-2,-1,-5,-2,-2,-1,7,-9,-2,-7,13,-13,4,-1,4,-14,-9,-1,4,-1,1,5,-12,-1,-21,0,3,-6,-1,30,10,8,-6,-7,1,-4,0,4,-3,11,9,-6,-18,7,-20,-6,-1,-8,0,-5,0,0,-6,-13,3,-8,3,-12,-19,-13,-5,-9,-15,6,-20,-6,-12,-4,1,5,15,3,-1,9,-1,1,0,4,14,-6,6,4,-1,-5,2,4,0,-5,2,-6,-5,2,-2,0,-19,-5,2,-14,-8,-3,9,10,-3,-12,2,5,2,8,-10,-7,0,-15,-4,-11,7,1,-6,-11,-13,-6,-14,-3,0,-10,7,-4,5,-3,1,8,2,2,11,-6,7,4,8,-8,-9,-1,-19,-13,1,-6,-8,11,-4,-9,-6,-11,1,4,7,32,-2,-2,1,-6,-6,5,-2,-4,1,0,9,-7,-7,3,-17,14,-6,-2,19,5,-7,1,-12,5,6,9,-2,6,-2,-2,10,-9,7,13,-6,2,4,-3,-11,-4,-7,-3,9,-1,-37,7,-1,-7,3,-4,-1,-7,7,6,1,6,-14,-1,4,-14,25,8,-12,9,-7,6,3,-3,5,-9,-13,-4
ATM/ATR Kinase Inhibitor (CGK 733),29.07889776,-9,0,19,6,10,11,-15,-5,-3,17,-10,6,-9,-11,-1,-7,9,7,13,1,9,1,1,-22,-22,-5,-6,10,0,2,-7,3,-14,-1,-5,-3,6,-3,-10,55,-17,-10,-5,-12,6,8,5,2,10,5,-36,-2,29,-13,2,-16,-5,-4,-7,-17,4,-4,-2,-3,3,-11,-4,-9,-5,-11,-17,-8,-6,-9,-21,-18,-5,-2,1,7,11,-4,12,10,0,14,-8,-12,17,20,1,1,-4,4,24,15,10,-14,-15,2,-4,-12,-26,-10,-7,-7,-20,-4,8,-4,5,14,10,2,-12,11,18,-2,10,-13,4,-16,24,0,-5,-13,-35,-8,-3,-2,-6,-6,3,-12,5,2,8,2,14,-2,12,15,14,10,6,-20,-8,-3,-41,-1,10,0,-6,-5,-4,-3,-13,3,-3,-10,-2,10,-8,-5,-8,-8,2,-8,-8,-6,-1,0,16,-2,-6,3,-11,-10,0,4,3,-2,0,13,6,18,29,-8,-11,8,-10,1,12,-3,-6,-13,-8,-8,20,-5,2,-6,5,-10,-13,-10,-36,10,-7,-16,2,6,-2,7,9,4,4,-2,2,-17,1,13,9,13,-2,18,4,3,-8,-7,-4,-15,-26,4
Aurora Kinase/Cdk Inhibitor (JNJ-7706621),72.12596102,56,50,23,0,42,53,66,96,-2,100,102,94,44,26,68,-6,45,60,14,10,10,27,25,4,-10,99,101,98,97,100,101,43,43,100,18,48,47,74,-2,0,-11,-4,0,60,80,21,1,12,3,3,32,1,4,23,-4,17,-5,42,9,6,-8,-3,48,10,22,-3,-15,16,7,-2,-1,16,90,64,71,1,37,82,44,99,70,49,67,22,2,45,89,77,4,29,25,25,52,16,8,9,12,11,7,16,10,4,-12,11,89,93,1,-2,49,67,42,34,88,1,83,60,-2,-8,6,-3,56,27,17,64,55,-7,17,-4,22,84,5,3,16,3,13,25,75,66,39,-15,17,19,44,4,8,-5,-11,25,14,-18,14,35,29,21,54,6,-6,-8,32,0,29,1,1,-7,-4,-16,-10,37,17,10,39,30,14,1,10,70,-9,25,-13,10,-8,3,2,-1,19,6,10,45,47,38,35,84,19,-1,19,72,68,81,73,7,-2,10,10,-24,11,-6,50,4,44,47,8,53,18,85,94,82,28,18,-5,64,32,59,46,13,-3,9,8,54,3,4,0,50,2,4
BAY 11-7082,39.94721571,-4,19,1,-3,11,13,9,-9,-11,-18,-5,7,-7,-8,16,-7,17,-13,2,5,-1,-3,-4,-8,-14,-6,-24,9,7,-2,0,5,-1,-2,1,15,20,3,0,4,-16,-14,0,-10,4,9,-16,-14,12,-4,-25,2,-25,-5,4,-2,-7,5,-6,-3,-6,-7,6,6,7,-22,-18,3,5,-5,-1,3,9,-8,-18,-15,-8,4,6,2,16,12,10,4,8,5,-15,-17,6,13,2,-4,-1,-3,25,12,0,-8,6,1,-2,3,-19,-3,1,-9,-15,-7,26,-1,4,13,8,6,-9,8,3,-13,7,6,10,-5,4,-1,4,-11,-24,7,5,3,2,14,11,-11,-5,0,21,1,14,5,14,15,28,3,10,1,-14,-1,-33,-7,-14,1,-6,5,-6,18,0,-4,-5,-14,3,-11,9,-2,-7,-20,-8,12,2,-4,1,-1,-1,-2,20,3,-9,2,-8,15,-7,8,-3,-10,10,9,30,-2,-15,12,-19,11,20,-4,-7,6,-16,-2,26,6,-2,8,-4,24,3,-3,19,2,-1,5,-3,-4,4,6,12,8,13,5,2,-15,13,-5,-17,9,8,21,-9,3,9,6,2,-23,-6,12
